,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
1077,314922605759778048,16.95672268435582,34.21062011839555,126.7884980871696,-28.538375802701804,42.626610376402766,1726.4104,1373.6228544046069,0.026019732,480.4575488701561,0.02182338,-13.382171,0.64404094,23.453314,23.438517,23.465384,30,-1244.796403514001,-612.3491629268478
1245,237363467857253504,53.972705854024085,41.70568684944132,152.98114118514744,-11.374966507353252,40.60346687332831,1746.1486,1009.9395783843371,0.028085241,142.02695684369422,0.019036764,-8.039445,0.4170913,24.611435,24.5967,24.628387,30,-881.1131274937312,-273.91857090038604
1645,222749343414443648,52.227698158214295,37.37771073269072,154.49796426006864,-15.660489985370974,36.90719800007177,1631.0986,1122.1763715002862,0.026695637,-1065.6656513527055,0.02204046,-173.87253,0.48008668,27.069921,27.04988,27.083841,30,-993.3499206096803,933.7740372960136
67,3409711211681795584,70.73548173808452,18.953202926391814,180.02134291127595,-17.4272545962121,105.42748417135273,5013.3423,656.6469583029074,0.027073016,-1116.5935413672632,0.016278848,25.681438,0.28841102,9.48095,9.479483,9.482779,31,-550.3484842696064,1026.6310605062529
531,219057458247921536,60.82191799513742,35.26721591490448,161.40180991803464,-12.902630088959485,54.04215963609338,2080.6301,1731.5573033901283,0.02869167,-1364.3629900603064,0.020573057,-25.896803,0.1750628,18.489712,18.48139,18.498869,31,-1625.2588293568272,1274.400509199296
835,111379432679196672,49.442359174881396,25.25015392509532,160.10662077375727,-26.863365852197667,46.06079767926949,2269.7446,786.5359285178403,0.026012516,-362.3478232742765,0.02292135,22.911343,0.33172277,21.691467,21.681192,21.702372,31,-680.2374544845393,272.3853424132662
3820,170216567626711296,61.55261993249993,32.947175569252565,163.48778578105362,-14.181702409458556,27.674261639839266,1554.5011,682.357069703274,0.02248797,-830.3239156800744,0.012522072,109.87245,0.3422895,36.082752,36.062008,36.106857,31,-576.058595669973,740.3614348190641
13,3209938366665770752,82.86754111476276,-3.6865276019053095,206.94507777864078,-19.448853668653015,175.31313655111924,8596.816,761.6309015978574,0.01798819,-2092.208719837279,0.013469684,8.25507,0.13971664,5.703329,5.702584,5.7039046,32,-727.4899022115892,2007.2307118629649
307,3213958769587525888,79.80586741563162,-3.07320375008595,204.8427845543416,-21.86724999343409,63.64345779109681,2825.2095,699.9096105469612,0.01904812,137.82430941282388,0.013950352,88.415474,0.1447147,15.707069,15.7025175,15.7111845,32,-665.768611160693,-222.80231738713823
334,2889899840676982912,92.07230227517162,-32.279572504295146,238.8247024405912,-22.603196030329528,62.48247397006384,3131.605,731.1771311081495,0.022405898,-25.587413092635938,0.020156642,22.514244,0.42763734,16.0029,15.998298,16.008362,32,-697.0361317218814,-59.39059488167841
1616,2936850125355960576,95.47115618136006,-22.722144544313213,230.50424236683526,-16.36132290890087,37.06510059689465,1579.5377,-631.8091258124423,0.016009282,272.02243613994386,0.023497798,15.484141,0.32475105,26.961887,26.943918,26.979689,32,665.9501251987105,-357.00044411425824
3862,3005681889712375552,92.35651465556744,-8.962056186917872,216.26345176994644,-13.372764067099892,27.604338066494183,1483.8491,606.3566815512611,0.018386504,1.7957591091440308,0.017284036,83.3569,0.9910897,36.202656,36.18288,36.22974,32,-572.2156821649929,-86.77376708345838
240,2887328533953284096,86.92331434152952,-36.329112113805756,241.76089365065405,-27.839653755932318,68.97093599378836,4885.3496,767.7895392697288,0.015172214,-122.94053830374963,0.017522074,25.189539,0.4661771,14.494834,14.491852,14.497474,33,-773.5827238987813,158.8072396188595
340,5291028284195365632,119.48334407866447,-60.29901533257322,273.3896029235306,-15.659700067626853,61.86901978618255,5084.3374,502.4704362865099,0.014823422,121.64523686919958,0.014455762,17.079689,0.20746635,16.16085,16.157305,16.163893,33,-508.2636209155624,-85.7785355540897
