,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
531,219057458247921536,60.82191799513742,35.26721591490448,161.40180991803464,-12.902630088959485,54.04215963609338,2080.6301,1731.5573033901283,0.02869167,-1364.3629900603064,0.020573057,-25.896803,0.1750628,18.489712,18.48139,18.498869,31,-1625.2588293568272,1274.400509199296
2170,3392328795750841984,77.29213667646842,15.456321956699627,186.7832301595986,-14.399480606549643,33.567464658362745,776.31665,135.98636234816408,0.053949367,-634.8352521151235,0.038851686,-18.205109,2.1918702,29.770157,29.729437,29.80558,31,-29.687888314863088,544.8727712541132
2403,3407792804024921344,78.22438639650855,19.71917510080694,183.68118405016517,-11.266439557652111,32.45194690303701,1986.6544,367.8134291851854,0.02160105,-673.7605706444922,0.013512244,-0.6503635,0.62329143,30.782116,30.766706,30.801012,31,-261.5149551518844,583.7980897834819
3820,170216567626711296,61.55261993249993,32.947175569252565,163.48778578105362,-14.181702409458556,27.674261639839266,1554.5011,682.357069703274,0.02248797,-830.3239156800744,0.012522072,109.87245,0.3422895,36.082752,36.062008,36.106857,31,-576.058595669973,740.3614348190641
13,3209938366665770752,82.86754111476276,-3.6865276019053095,206.94507777864078,-19.448853668653015,175.31313655111924,8596.816,761.6309015978574,0.01798819,-2092.208719837279,0.013469684,8.25507,0.13971664,5.703329,5.702584,5.7039046,32,-727.4899022115892,2007.2307118629649
55,3211461469444773376,75.2066176720424,-5.758598962923454,205.09763586107513,-27.175861694323714,113.07145912478761,5084.4727,549.3086851259898,0.020699173,-1108.2450318392753,0.01622233,21.382961,0.14462914,8.842377,8.840806,8.844154,32,-515.1676857397216,1023.267023864961
757,3235885299189856384,82.05933436737378,2.965723381901958,200.38596038069045,-16.97940039829594,47.50724174870902,836.08417,-339.7325948517154,0.059819486,-1106.563682143111,0.04155493,126.84681,4.080871,21.035889,21.01306,21.057308,32,373.87359423798364,1021.5856741687967
1643,5494452847462040192,91.51269894401426,-59.546490794182155,268.3835665347413,-28.804678891908328,36.91656582397584,632.70483,-226.0175460013086,0.073754236,-739.3441193122798,0.074962646,23.959732,0.31046224,27.067406,27.02585,27.103838,33,220.2243613722561,775.2108206273897
1758,5476589734884246528,92.75137929462488,-65.20915463544685,274.8722439527271,-28.649966738341348,36.22647462341464,3025.7744,178.2107920203935,0.015547129,-758.7547453320332,0.0155677,50.141556,0.22912072,27.594076,27.586042,27.603739,33,-184.003976649446,794.6214466471431
1767,5505483938387762816,107.88189960502685,-49.42057106939081,260.219015345811,-17.1958236128908,36.203645630807635,2437.038,-7.02244928575351,0.01824157,817.5485303846175,0.020695394,87.414085,0.16204275,27.618795,27.608818,27.629925,33,1.229264656701016,-781.6818290695076
1810,5569858798004394624,96.10099269381008,-42.844063500286964,250.78442908855712,-22.759628108406588,35.93643599490368,2598.2454,-76.98934372400421,0.017000193,777.3100512344986,0.01878299,56.247814,0.15366882,27.823298,27.81077,27.83519,33,71.19615909495172,-741.4433499193888
516,4623036865373793408,84.29954054316471,-80.46445831742687,292.50789885823906,-29.776069227701374,54.682509087903306,1542.8544,310.9088263686165,0.046725154,1049.0604902495015,0.0601278,10.730812,0.14618537,18.292938,18.277987,18.304,34,-378.3716598456747,-1050.251735998674
1768,5194691411834588800,108.9510102732648,-83.00219524772052,295.1742457276431,-26.17287122292247,36.19989278824913,802.2903,-99.89662836155694,0.051594317,667.8183041501567,0.062498976,7.9286757,0.77768475,27.619392,27.580807,27.650642,34,32.43379488449874,-669.009549899329
203,5914096303621755520,257.54377499876193,-60.7261529768452,329.82146798246424,-12.21973513500166,72.85383430610172,3349.2656,71.05026650027725,0.01467721,589.3524754926772,0.016724583,6.2687745,0.15274745,13.722584,13.719173,13.726213,35,-78.73597366053937,-736.9142465617517
1247,5918765792061510144,267.73732663816287,-56.60495340644189,336.24427523908537,-14.649538388823848,40.56706109729695,2258.6196,-1058.613305301599,0.018218186,-685.4504667475096,0.016273277,-44.97523,0.4997551,24.63908,24.62922,24.650574,35,1050.9275981413368,537.888695678435
2243,4278722497040124032,280.4017031800421,0.911706242335105,32.62275209119925,2.6030455703910906,33.25354200546288,1963.2351,46.01096950608486,0.018590633,-1981.2154780862186,0.016742669,168.07245,0.7859388,30.046988,30.03056,30.062134,36,-40.83866912896452,1851.6326867541
18,4293318823182081408,289.2276515036191,5.162976302668586,40.44050890034916,-3.283736219652442,169.06150528157374,7065.995,-579.0805296593278,0.024688331,-1332.8677163542409,0.021144519,35.554638,0.15829197,5.913561,5.9128585,5.9144106,37,584.2499885040138,1254.5324580298834
266,4315804351350378496,291.24577656808344,11.947271123353104,47.37589920945133,-1.8679460354578472,67.01526888035684,1020.6859,721.2921943048541,0.053558353,642.9684532716341,0.058997493,-100.26608,0.15201236,14.912385,14.896926,14.925939,37,-716.1227354601681,-721.3037115959917
301,1833199729671740800,300.9623356058576,23.336629388172494,61.8755519801555,-4.202837683668691,64.01198953137545,3903.9124,-1003.9934560286667,0.011805945,-912.7184937140594,0.014524547,-2.432786,0.14438221,15.615016,15.611093,15.617993,37,1009.1629148733527,834.3832353897019
2040,2049291147911633152,290.59208259523956,33.888242488049,66.56311163303967,8.907463546859411,34.30275180436615,281.78278,128.62137965852256,0.12167106,729.0677298586862,0.14671312,-70.88002,0.29652724,29.098648,28.98589,29.196848,37,-123.45192081383652,-807.4029881830438
1,1872046574983497216,316.753662752556,38.75607277205679,82.3398800038688,-5.830395626717013,286.0053518616485,9882.616,4105.976428209489,0.025807729,3155.9416398273515,0.026797226,-64.42505,0.13015395,3.4960673,3.4957001,3.496407,38,-3955.206236794437,-3124.1937897388093
2,1872046609345556480,316.7484792940004,38.76386244649797,82.34297369475966,-5.822177113164248,285.99494829578117,4774.757,4164.2086922846665,0.055289943,3249.613883848584,0.055022996,-65.93776,0.13571152,3.4962456,3.4956272,3.4970064,38,-4013.438500869614,-3217.866033760042
1193,2192213022271586560,316.9717229869554,59.713908118639495,97.98225312598788,8.165633995960158,41.35039917891807,3628.5586,-1032.556159115366,0.015291511,-1829.0701050518846,0.015128838,-266.18213,0.6157977,24.179508,24.17421,24.186369,38,1183.3263505304187,1860.817955140427
38,411413822074322432,17.094749861202942,54.91320397755905,125.38813226423677,-7.877732160933997,130.28806976927032,299.66635,3468.251393146748,0.3536465,-1564.8444473117734,0.36520144,-96.93266,0.18383332,7.66964,7.6459293,7.7042155,39,-3328.3145613410825,1435.4569153585076
205,266846631637524864,75.85923651184258,53.12163420733134,155.53053042985172,7.023077291167285,72.17340591451902,4179.373,1302.1185621203924,0.022615874,-1537.6442792268324,0.016486105,65.79973,0.1856846,13.848116,13.844784,13.851254,39,-1162.1817303147272,1408.2567472735664
152,188771135583573504,79.78833900872726,40.09609817127969,167.68373661369685,1.5411330955275024,79.6021083335795,792.43976,520.5689114669946,0.13219275,-664.487871734592,0.09714893,66.53473,0.14077222,12.5573015,12.545563,12.572234,40,-494.8154187471604,532.060848506023
6063,208396456066072704,78.74394679612895,44.52598011222102,163.6172833157696,3.4689373612218213,23.764109489977574,1691.0396,28.517261489553633,0.016489295,-686.3391439014215,0.014731208,-0.38543507,0.45591265,42.013584,41.991756,42.04403,40,-2.763768769719462,553.9121206728526
130,3100542495921276160,100.05875121900114,-5.875749795160788,216.90148398854527,-5.1600577379862465,84.79689812369861,4989.641,107.26515341253022,0.017045883,-582.5983852416947,0.017141106,47.447853,0.5467149,11.788486,11.786297,11.79082,41,-149.1770672410855,527.6941750041241
2019,3029689554311211264,116.76341985432674,-13.940872899188362,231.73408759816715,5.606996093205398,34.419147286774866,2534.5662,119.77121750907949,0.01307739,-498.8612759807183,0.011081052,6.7394853,0.35947672,29.027681,29.0152,29.038378,41,-161.68313133763476,443.95706574314767
2582,3113909602378333056,104.14239928227293,1.1595170623603641,212.48466118964882,1.6703751767525687,31.7697146742958,1566.3357,-8.851997778061278,0.022941487,-577.5504892694529,0.020455714,-8.122799,0.187481,31.450752,31.431795,31.471664,41,-33.059916050493996,522.6462790318823
4348,3033080654331410432,110.34390995317119,-12.635193362473041,227.56674723366461,0.766435164661881,26.5617739093051,1815.5674,-133.04027052172734,0.012262267,459.9201033959692,0.010979978,39.326164,0.20407586,37.615772,37.59761,37.63274,41,91.12835669317207,-514.8243136335398
